time,command_position,command_velocity,command_torque_or_current,true_motor_position,true_motor_velocity,measured_motor_encoder_position,true_finger_position,true_finger_velocity,measured_output_position,cable_tension,controller_error_position,controller_error_velocity,torque_command,current_command,applied_torque_after_saturation,external_load,temperature,safety_status
1780518700.250777,0.25460341771443645,,0.275,-24.74534175762702,18.0,-24.81739270798204,-0.04755208858750722,-0.023248304907066322,-0.04688618384771867,0.0,0.302122956915438,2.817718447279935,0.275,2.5,0.2745000197078596,0.0,27.27911482234045,motor velocity clamped
1780518700.2525516,0.25460341771443645,,0.275,-25.564885652784774,18.0,-25.637239902531114,0.0,0.0,-8.987647296526133e-05,0.0,0.302122956915438,2.817718447279935,0.275,2.5,0.2704648113505458,0.0,27.153537888816945,motor velocity clamped
1780518700.2530723,0.25460341771443645,,0.275,-24.70884494277425,18.0,-24.782343751995732,-0.04759858519732135,-0.023248304907066322,-0.046664886173084286,0.0,0.302122956915438,2.817718447279935,0.275,2.5,0.27456668374681165,0.0,27.280122324077702,motor velocity clamped
1780518700.2545438,0.25460341771443645,,0.275,-25.528396609444396,18.0,-25.602629010501612,0.0,0.0,-0.00018822732995427062,0.0,0.2546932941874017,2.374261656139476,0.275,2.5,0.271069503170473,0.0,27.15452328312902,motor velocity clamped
1780518700.2547908,0.25460341771443645,,0.275,-24.67234799953148,18.0,-24.744874657139565,-0.04764508180713548,-0.023248304907066322,-0.04777805386379203,0.0,0.30126830388752074,2.8159519493770624,0.275,2.5,0.2746244592472368,0.0,27.28113024745332,motor velocity clamped
1780518700.2564936,0.25460341771443645,,0.275,-25.491906401512363,18.0,-25.564622737459914,0.0,0.0,-0.0013559728654858317,0.0,0.30126830388752074,2.8159519493770624,0.275,2.5,0.27159356941440993,0.0,27.15551285878722,motor velocity clamped
1780518700.2568011,0.25460341771443645,,0.275,-24.635850945017374,18.0,-24.709143132040825,-0.04769157841694961,-0.023248304907066322,-0.05040240224912058,0.0,0.30126830388752074,2.8159519493770624,0.275,2.5,0.2746745313476052,0.0,27.282138529591425,motor velocity clamped
1780518700.2586231,0.25460341771443645,,0.275,-24.59935379406811,18.0,-25.528204312764842,-0.04773807502676374,-0.023248304907066322,0.001228167309724296,0.0,0.2559593905799223,2.380098050576138,0.275,2.5,0.27471792716792454,0.0,27.15650605811001,motor velocity clamped
1780518700.2588654,0.25460341771443645,,0.275,-24.59935379406811,18.0,-24.671348294956232,-0.04773807502676374,-0.023248304907066322,-0.04686717741485867,0.0,0.305005819963557,2.843549245448062,0.275,2.5,0.27471792716792454,0.0,27.283147115979933,motor velocity clamped
1780518700.2604382,0.25460341771443645,,0.275,-25.418923092285038,18.0,-25.491247541128764,0.0,0.0,0.0008601806993297175,0.0,0.305005819963557,2.843549245448062,0.275,2.5,0.27244139213793456,0.0,27.157502396128347,motor velocity clamped
1780518700.2607443,0.25460341771443645,,0.275,-24.562856559541714,18.0,-24.6357740646223,-0.04778457163657787,-0.023248304907066322,-0.04906561789986005,0.0,0.305005819963557,2.843549245448062,0.275,2.5,0.27475553687886795,0.0,27.284155959360348,motor velocity clamped
1780518700.2624116,0.2718191623687744,,0.275,-25.382430242196477,18.0,-25.455266391164834,0.0,0.0,0.0004271437657650654,0.0,0.25374323701510676,2.369590775080113,0.275,2.5,0.2727825398528766,0.0,27.15850145130017,motor velocity clamped
1780518700.262704,0.2718191623687744,,0.275,-24.5263592525818,18.0,-24.599145381049834,-0.047831068246392,-0.023248304907066322,-0.0471324801630068,0.0,0.32088478026863443,2.9848104388787586,0.275,2.5,0.27478813196168556,0.0,27.285165018764367,motor velocity clamped
1780518700.2644281,0.2718191623687744,,0.275,-25.345936735082688,18.0,-25.419188033289156,0.0,0.0,-0.0019824902273304036,0.0,0.32088478026863443,2.9848104388787586,0.275,2.5,0.2730782012058264,0.0,27.1595028573611,motor velocity clamped
1780518700.2648363,0.2718191623687744,,0.275,-24.489861882846167,18.0,-24.561149192004216,-0.04787756485620613,-0.023248304907066322,-0.04719415601094653,0.0,0.32088478026863443,2.9848104388787586,0.275,2.5,0.27481638103346084,0.0,27.28617425867799,motor velocity clamped
1780518700.2664227,0.2718191623687744,,0.275,-25.30944265854703,18.0,-25.383699181543165,0.0,0.0,-0.0008451259434508372,0.0,0.2738016525961048,2.552430958556166,0.275,2.5,0.2733344410450495,0.0,27.160506296185098,motor velocity clamped
1780518700.266772,0.2718191623687744,,0.275,-24.453364458704918,18.0,-24.52568400804131,-0.04792406146602026,-0.023248304907066322,-0.0452054541929996,0.0,0.3190133183797209,2.973528738319784,0.275,2.5,0.2748408635623327,0.0,27.287183648316383,motor velocity clamped
1780518700.2684608,0.2718191623687744,,0.275,-25.272948088512425,18.0,-25.346776218977123,0.0,0.0,-0.0003231020563404248,0.0,0.3190133183797209,2.973528738319784,0.275,2.5,0.27355651557237626,0.0,27.16151149153956,motor velocity clamped
1780518700.2688494,0.2718191623687744,,0.275,-24.41686698741213,18.0,-24.49000202973712,-0.04797055807583439,-0.023248304907066322,-0.047492852729038214,0.0,0.3190133183797209,2.973528738319784,0.275,2.5,0.2748620817540217,0.0,27.28819316099492,motor velocity clamped
1780518700.2705266,0.2718191623687744,,0.275,-25.23645309077873,18.0,-25.3094840866387,0.0,0.0,0.0012116424796191957,0.0,0.27214226442511485,2.5245886810437983,0.275,2.5,0.2737489801627261,0.0,27.162518203629876,motor velocity clamped
1780518700.2708862,0.2718191623687744,,0.275,-24.38036947525468,18.0,-24.454310404227915,-0.04801705468564852,-0.023248304907066322,-0.04712256179595393,0.0,0.3193120150978126,2.9744627509244372,0.275,2.5,0.2748804708534855,0.0,27.28920277358366,motor velocity clamped
1780518700.2724745,0.2718191623687744,,0.275,-25.199957722372492,18.0,-25.272030970701405,0.0,0.0,0.0002544467515587555,0.0,0.3193120150978126,2.9744627509244372,0.275,2.5,0.27391578280769596,0.0,27.163526224338934,motor velocity clamped
